n,mode,regime,pool_frames,rows,pages_read,evictions,batch,median_us,min_us,p95_us,gc_per_sample,parse_us
1000,index,WARM,64,1,0,0,269,0.430,0.354,1.248,0.02,0.212
1000,scan,WARM,64,1,0,0,4,52.711,24.364,70.774,0.00,0.547
1000,index,COLD,64,1,1,0,1,3.270,2.874,10.296,0.00,0.312
1000,scan,COLD,64,1,9,0,1,67.110,58.960,87.222,0.00,0.290
10000,index,WARM,64,1,0,0,300,0.721,0.407,0.947,0.02,0.223
10000,scan,WARM,64,1,84,84,1,359.410,302.997,858.322,0.02,0.314
10000,index,COLD,64,1,1,0,1,3.804,3.465,4.757,0.00,0.477
10000,scan,COLD,64,1,84,20,1,281.810,235.085,468.761,0.00,0.253
100000,index,WARM,64,1,0,0,164,0.443,0.405,0.560,0.02,0.190
100000,scan,WARM,64,1,834,834,1,2571.173,2467.147,5905.572,0.06,0.287
100000,index,COLD,64,1,1,0,1,1.470,1.204,1.877,0.00,0.248
100000,scan,COLD,64,1,834,770,1,2569.823,2477.586,5719.446,0.06,0.282
1000000,index,WARM,64,1,0,0,393,0.638,0.595,0.694,0.00,0.421
1000000,scan,WARM,64,1,8334,8334,1,26944.923,25517.975,28007.794,0.22,0.213
1000000,index,COLD,64,1,1,0,1,1.144,1.021,1.333,0.00,0.205
1000000,scan,COLD,64,1,8334,8270,1,26927.141,25929.608,27891.868,0.24,0.200
